id;start_date;end_date;language
1;2019-06-03T00:35:27;2019-06-02T17:43:45;FRENCH
2;2019-06-03T02:05:33;2019-06-02T11:11:43;FRENCH
3;2019-06-02T21:37:37;2019-06-02T13:01:37;FRENCH
4;2019-06-02T10:49:29;2019-06-02T18:16:30;FRENCH
5;2019-06-02T19:48:08;2019-06-03T00:32:16;FRENCH
6;2019-06-03T02:05:08;2019-06-03T03:22:04;FRENCH
7;2019-06-02T11:27:28;2019-06-03T00:08:15;FRENCH
8;2019-06-02T08:58:47;2019-06-02T16:58:56;FRENCH
9;2019-06-02T18:46:53;2019-06-03T03:11:31;FRENCH
10;2019-06-02T22:05:02;2019-06-02T19:21:17;FRENCH
